Order_ID,Date,Product,Category,Quantity,Unit_Price,Discount,Customer_Age,Payment_Method,Store_Location
ORD-105398,5/8/2023,Socks,Clothing,5,293.67,0.15,46,Credit Card,Chicago
ORD-103078,1/21/2023,Cookware Set,Home & Kitchen,6,153.37,0,36,Apple Pay,New York
ORD-106051,7/7/2023,Socks,Clothing,5,104.13,0.1,41,Debit Card,New York
ORD-106503,6/24/2023,Data Science 101,Books,3,120.21,0.05,61,Debit Card,Phoenix
ORD-103602,12/12/2023,Biography,Books,6,406.91,0.15,67,CREDIT CARD,Houston
ORD-109820,11/9/2023,Moisturizer,Beauty,9,50000,0.05,50,PayPal,New York
ORD-100933,11/6/2023,Data Science 101,Books,5,375.97,0,66,Cash,Los Angeles
ORD-100034,5/17/2023,Wireless Mouse,Electronics,6,257.82,0.2,50,Apple Pay,Chicago
ORD-100305,Invalid_Date,Air Fryer,Home & Kitchen,1,165.19,0.1,28,Credit Card,Houston
ORD-108928,5/1/2023,Shampoo,Beauty,8,124.53,0.15,43,,Online
ORD-101124,7/6/2023,Mug,Home & Kitchen,7,,0,36,Credit Card,Online
ORD-107856,8/15/2023,Socks,Clothing,1,175.73,0.2,34,Credit Card,Houston
ORD-109901,4/24/2023,Socks,Clothing,8,50.8,0.05,72,Debit Card,Online
ORD-105707,4/24/2023,Sunscreen,Beauty,5,178.6,0,55,Credit Card,Chicago
ORD-102037,Invalid_Date,Air Fryer,Home & Kitchen,3,263.45,0.05,23,Cash,Chicago
ORD-101489,8/30/2023,Fiction Novel,Books,1,246.51,0.2,47,Debit Card,Phoenix
ORD-100736,6/30/2023,USB-C Cable,Electronics,5,198.95,0,74,Debit Card,Phoenix
ORD-101497,5/11/2023,Blender,Home & Kitchen,2,9999.99,0.05,73,PayPal,Chicago
ORD-105437,1/5/2023,Monitor,Electronics,2,186.93,0.1,45,Apple Pay,Los Angeles
ORD-101579,2/22/2023,Cookware Set,Home & Kitchen,7,57.37,0.05,55,PayPal,Houston
ORD-108956,4/17/2023,Lip Balm,Beauty,9,239.67,0.2,48,Debit Card,Los Angeles
ORD-100040,5/20/2023,Lip Balm,Beauty,3,341.95,0.15,43,Credit Card,Phoenix
ORD-109594,5/8/2023,Biography,Books,8,9999.99,0,28,Debit Card,Los Angeles
ORD-100319,12/10/2023,Socks,Clothing,6,166.33,0.1,0,Credit Card,Houston
ORD-106856,3/28/2023,Wireless Mouse,Electronics,7,124.17,0.15,22,Cash,Houston
ORD-104344,4/12/2023,Python Guide,Books,5,415.86,0.1,55,,Online
ORD-105928,3/21/2023,Moisturizer,Beauty,5,50000,0.05,49,Cash,Houston
ORD-104380,3/17/2023,History Book,Books,6,183.4,0.15,Unknown,Apple Pay,Online
ORD-104231,6/20/2023,Socks,Clothing,7,465.59,0.15,24,PayPal,New York
ORD-100674,1/13/2023,Headphones,Electronics,9,30.92,0.05,54,PayPal,Online
ORD-103474,9/18/2023,History Book,Books,6,405.54,0.2,32,PayPal,Online
ORD-100566,7/22/2023,T-Shirt,Clothing,4,154.13,0.2,52,Apple Pay,Online
ORD-106399,4/16/2023,Headphones,Electronics,9,453.38,0.1,200,Cash,Los Angeles
ORD-108776,4/13/2023,USB-C Cable,Electronics,1,9999.99,0.2,26,PayPal,Phoenix
ORD-107013,4/20/2023,Jeans,Clothing,8,177.75,0.15,23,Cash,Online
ORD-101454,7/7/2023,Cookware Set,Home & Kitchen,5,,0.1,26,PayPal,New York
ORD-109239,5/20/2023,Sunscreen,Beauty,8,196.68,0.2,18,Apple Pay,New York
ORD-107984,8/31/2023,Biography,Books,3,153.3,0.15,-5,Cash,Online
ORD-101083,1/4/2023,Mechanical Keyboard,Electronics,5,339.43,0,21,PayPal,Online
ORD-106682,11/7/2023,Fiction Novel,Books,8,486.92,0,44,Debit Card,Chicago
ORD-100252,2023-13-45,Moisturizer,Beauty,9,126.97,0.05,54,PayPal,Chicago
ORD-108359,10/6/2023,Hoodie,Clothing,7,76.4,0.1,37,Debit Card,Online
ORD-103208,8/19/2023,Air Fryer,Home & Kitchen,9,406.28,0.2,58,Credit Card,Phoenix
ORD-105352,Invalid_Date,Mechanical Keyboard,Electronics,3,227.72,0.1,44,Apple Pay,Phoenix
ORD-104265,5/24/2023,Wireless Mouse,Electronics,3,409.64,0.2,29,Debit Card,Los Angeles
ORD-100322,9/24/2023,Jacket,Clothing,6,454.37,0.1,41,,Online
ORD-104706,7/7/2023,Hoodie,Clothing,8,309.84,0,70,Debit Card,Houston
ORD-109546,3/12/2023,Wireless Mouse,Electronics,7,249.97,0,34,Debit Card,Houston
ORD-105614,1/21/2023,Wireless Mouse,Electronics,5,456.87,0.1,25,Cash,Chicago
ORD-108918,4/26/2023,Mechanical Keyboard,Electronics,6,81.22,0.05,42,Apple Pay,Online
ORD-105262,4/22/2023,Cookware Set,Home & Kitchen,4,89.45,0.1,33,Credit Card,Houston
ORD-101955,3/28/2023,Data Science 101,Books,5,21.61,0.15,56,Debit Card,Los Angeles
ORD-104013,11/17/2023,USB-C Cable,Electronics,4,153.04,0.2,57,Credit Card,Houston
ORD-104699,7/22/2023,USB-C Cable,Electronics,4,411.85,0.05,39,PayPal,Los Angeles
ORD-105769,5/11/2023,Monitor,Electronics,6,423.91,0,38,PayPal,HOUSTON
ORD-100484,2023-13-45,Python Guide,Books,6,417.18,0,51,Debit Card,Phoenix
ORD-108537,6/13/2023,Mug,Home & Kitchen,4,179.55,0.2,49,Debit Card,Phoenix
ORD-102068,7/23/2023,Blender,Home & Kitchen,4,120.64,0.05,55,Debit Card,Online
ORD-102233,4/21/2023,Jeans,Clothing,8,9999.99,0.05,18,Apple Pay,New York
ORD-101796,7/11/2023,USB-C Cable,Electronics,1,9.45,0.15,32,Debit Card,Online
ORD-102214,2/2/2023,USB-C Cable,Electronics,3,423.39,0.15,45,Cash,Houston
ORD-104112,5/4/2023,Socks,Clothing,9,298.63,0,55,Credit Card,Houston
ORD-107335,4/2/2023,Mechanical Keyboard,Electronics,6,389.47,0,72,Cash,Online
ORD-102013,3/8/2023,Monitor,ELECTRONICS,3,160.48,0,67,Cash,Houston
ORD-106080,8/12/2023,Coffee Maker,Home & Kitchen,8,166.11,0,45,Cash,New York
ORD-100501,4/17/2023,Coffee Maker,Home & Kitchen,2,86.82,0,47,Apple Pay,Phoenix
ORD-105107,1/2/2023,Perfume,BEAUTY,1,265.14,0.2,19,Apple Pay,Online
ORD-106754,1/14/2023,Moisturizer,Beauty,6,305.64,0.05,61,Debit Card,Los Angeles
ORD-102359,1/17/2023,Wireless Mouse,Electronics,2,367.23,0.1,0,Cash,Chicago
ORD-107860,11/20/2023,Mechanical Keyboard,Electronics,6,9999.99,0.2,54,Credit Card,Online
ORD-102274,5/5/2023,USB-C Cable,Electronics,Unknown,280.62,0,38,Debit Card,Los Angeles
ORD-108202,2/14/2023,Hoodie,Clothing,N/A,466.52,0.15,24,Apple Pay,New York
ORD-102153,6/4/2023,Mechanical Keyboard,Electronics,5,221.2,0.1,23,CREDIT CARD,Chicago
ORD-108122,7/18/2023,Jacket,Clothing,2,231.9,0.1,45,Cash,New York
ORD-101200,12/28/2023,Air Fryer,Home & Kitchen,2,31.65,0,30,PayPal,Phoenix
ORD-101114,11/15/2023,Cookware Set,Home & Kitchen,2,337.83,0,N/A,Credit Card,New York
ORD-107677,9/1/2023,History Book,Books,5,281.58,0.1,23,Credit Card,New York
ORD-108720,7/31/2023,Moisturizer,Beauty,7,432.74,0.15,49,Debit Card,Chicago
ORD-100120,5/23/2023,Lip Balm,Beauty,9,112.32,0,70,PayPal,Chicago
ORD-102031,7/13/2023,USB-C Cable,Electronics,2,282.13,0.05,20,Debit Card,Houston
ORD-108608,5/25/2023,Mechanical Keyboard,Electronics,7,376.25,0,73,PayPal,Online
ORD-102413,9/26/2023,T-Shirt,Clothing,6,200.77,0.15,64,Debit Card,Los Angeles
ORD-104345,10/15/2023,Mug,Home & Kitchen,8,222.94,0.15,33,Credit Card,Houston
ORD-108807,6/28/2023,Mechanical Keyboard,Electronics,8,387.59,0.05,22,PayPal,Los Angeles
ORD-105266,11/1/2023,Biography,Books,1,454.39,0.05,65,Cash,Los Angeles
ORD-104722,11/7/2023,Moisturizer,Beauty,5,230.18,0,29,Apple Pay,chicago
ORD-107673,5/16/2023,Headphones,Electronics,2,396.02,0.2,42,Cash,Los Angeles
ORD-105020,9/5/2023,Jacket,Clothing,2,182.62,0.2,47,Apple Pay,Phoenix
ORD-107696,7/16/2023,Blender,Home & Kitchen,5,9999.99,0,48,Cash,Phoenix
ORD-100533,7/16/2023,Cookware Set,Home & Kitchen,9,201.7,0.1,28,PayPal,Los Angeles
ORD-101003,5/10/2023,Lip Balm,Beauty,4,487.03,,44,PayPal,New York
ORD-104011,2/23/2023,Data Science 101,Books,8,397.33,0.2,61,Debit Card,Online
ORD-103920,5/24/2023,Python Guide,Books,9,414.92,0.05,N/A,PayPal,Phoenix
ORD-100374,3/23/2023,History Book,Books,4,335.46,0.2,58,Apple Pay,Houston
ORD-100097,7/11/2023,Blender,Home & Kitchen,4,92.83,0.1,66,Cash,Phoenix
ORD-109099,11/17/2023,Sunscreen,Beauty,1,111.36,,53,Cash,Houston
ORD-105854,2/24/2023,Jacket,Clothing,7,135.66,0.15,36,Cash,Chicago
ORD-107466,11/29/2023,Hoodie,Clothing,4,16.41,0.15,24,Credit Card,Los Angeles
ORD-100519,6/10/2023,Moisturizer,Beauty,9,95.59,0.05,70,Apple Pay,PHOENIX
ORD-109150,2/27/2023,Python Guide,Books,3,229.4,0.2,53,Credit Card,Chicago
ORD-101433,5/5/2023,Fiction Novel,Books,4,174.93,0.1,23,Cash,Chicago
ORD-107900,3/22/2023,Sunscreen,BEAUTY,1,452.78,0,47,Debit Card,Houston
ORD-102361,8/23/2023,Monitor,Electronics,4,303.07,0,25,Debit Card,Los Angeles
ORD-106011,2/17/2023,Lip Balm,Beauty,5,206.77,0.1,35,PayPal,Phoenix
ORD-108412,1/25/2023,Monitor,Electronics,3,142.54,0,64,Cash,Online
ORD-106019,6/22/2023,Blender,Home & Kitchen,N/A,186.74,0.1,45,Apple Pay,Chicago
ORD-103972,11/3/2023,Perfume,Beauty,7,0,0.15,26,PayPal,Phoenix
ORD-106038,8/5/2023,Perfume,Beauty,7,,0.05,66,Credit Card,Chicago
ORD-104721,9/17/2023,Coffee Maker,Home & Kitchen,7,294.1,0,64,Credit Card,Phoenix
ORD-103439,11/12/2023,History Book,Books,7,75.14,0.2,36,Credit Card,Los Angeles
ORD-107012,9/23/2023,Fiction Novel,Books,3,275.96,0,35,PayPal,Los Angeles
ORD-104487,7/31/2023,T-Shirt,Clothing,9,13.77,0.05,49,Debit Card,Chicago
ORD-106144,5/20/2023,Perfume,Beauty,3,418.24,0,45,Apple Pay,Phoenix
ORD-104217,10/24/2023,Wireless Mouse,Electronics,8,300.88,0,73,Debit Card,Phoenix
ORD-108179,9/9/2023,Perfume,Beauty,7,265.52,0.05,69,,New York
ORD-108193,3/21/2023,Jeans,Clothing,4,372.35,0.2,32,PayPal,New York
ORD-100577,12/14/2023,Blender,Home & Kitchen,3,122.53,,21,Cash,Chicago
ORD-101624,12/28/2023,Wireless Mouse,Electronics,8,223.1,0.2,999,Apple Pay,Online
ORD-109327,12/2/2023,Cookware Set,Home & Kitchen,7,268.09,0.15,40,Credit Card,Online
ORD-108387,3/11/2023,USB-C Cable,Electronics,7,401.77,0.2,200,Cash,Online
ORD-108508,4/26/2023,Blender,Home & Kitchen,9,89.45,0.1,28,Apple Pay,Online
ORD-108315,11/23/2023,Shampoo,Beauty,3,340.77,0.05,25,Cash,Houston
ORD-102958,8/21/2023,T-Shirt,Clothing,1,499.38,0.15,61,Cash,Houston
ORD-106052,2/14/2023,Wireless Mouse,Electronics,1,373.89,0.1,64,PayPal,New York
ORD-107465,6/28/2023,History Book,Books,3,212.43,0.15,65,Debit Card,Online
ORD-108158,10/8/2023,Mechanical Keyboard,Electronics,7,48.24,0,,Cash,Houston
ORD-105279,11/23/2023,USB-C Cable,Electronics,2,459.74,0,57,PayPal,Chicago
ORD-107659,7/23/2023,Lip Balm,Beauty,3,14.17,0.1,74,PayPal,Chicago
ORD-102593,6/22/2023,Perfume,Beauty,5,482.69,,46,PayPal,Chicago
ORD-107953,11/2/2023,T-Shirt,Clothing,6,396.91,0,41,Debit Card,Chicago
ORD-103551,4/7/2023,USB-C Cable,Electronics,2,246.04,0.2,74,Debit Card,Phoenix
ORD-104717,1/19/2023,Wireless Mouse,Electronics,8,360.99,0.15,45,Debit Card,Phoenix
ORD-102426,2/24/2023,Mechanical Keyboard,Electronics,2,436.54,0.05,18,PayPal,Chicago
ORD-107808,8/22/2023,Biography,Books,4,253.4,0.05,21,Cash,Los Angeles
ORD-107303,2/8/2023,Wireless Mouse,Electronics,2,123.64,0.05,61,PayPal,Chicago
ORD-105383,2/4/2023,History Book,Books,2,316.3,0.2,74,Cash,Phoenix
ORD-104618,8/15/2023,Socks,Clothing,9,184.74,0.15,34,Apple Pay,Houston
ORD-101191,4/23/2023,Coffee Maker,Home & Kitchen,2,326.13,0.1,34,Debit Card,Houston
ORD-105906,7/28/2023,Sunscreen,Beauty,4,346.68,0.2,49,Credit Card,Houston
ORD-104624,2/26/2023,T-Shirt,clothing,2,185.4,0.15,54,Apple Pay,Phoenix
ORD-107863,2/25/2023,Socks,Clothing,9,250.57,0.1,,Credit Card,Phoenix
ORD-109967,5/20/2023,Lip Balm,Beauty,8,15.06,0.1,53,Cash,Chicago
ORD-107681,9/5/2023,USB-C Cable,Electronics,9,32.48,0.15,39,Credit Card,Los Angeles
ORD-102957,2/19/2023,Perfume,Beauty,2,382.24,0.2,48,Credit Card,New York
ORD-105313,5/4/2023,Fiction Novel,Books,5,79.73,0.1,49,PayPal,Online
ORD-109778,4/29/2023,Blender,Home & Kitchen,5,,0.1,68,Apple Pay,Online
ORD-107929,9/1/2023,Mechanical Keyboard,Electronics,7,408.38,0,64,Apple Pay,Phoenix
ORD-104515,3/19/2023,Lip Balm,Beauty,1,232.02,0.05,62,Debit Card,Online
ORD-107237,11/8/2023,Sunscreen,Beauty,1,452.21,0.15,41,Credit Card,Los Angeles
ORD-109373,6/4/2023,Mug,Home & Kitchen,4,418.91,0.1,28,Cash,Online
ORD-107718,1/15/2023,Socks,Clothing,7,42.79,0.1,40,Cash,Chicago
ORD-106425,1/20/2023,Headphones,Electronics,9,303.56,0,34,Debit Card,Online
ORD-107140,8/16/2023,Biography,Books,1,357.28,0.05,27,Credit Card,New York
ORD-107964,1/13/2023,Moisturizer,Beauty,4,15.57,0,150,Credit Card,Phoenix
ORD-102523,9/26/2023,Headphones,Electronics,8,419.33,0.15,32,Cash,Los Angeles
ORD-100108,9/10/2023,USB-C Cable,Electronics,0,381.95,0.2,57,Credit Card,Houston
ORD-102474,Invalid_Date,Socks,Clothing,9,5.96,0,32,Cash,Los Angeles
ORD-103317,1/15/2023,Python Guide,Books,4,139.56,0.05,19,Debit Card,Houston
ORD-109025,4/6/2023,Mug,Home & Kitchen,N/A,180.44,0.05,41,Cash,New York
ORD-105099,12/23/2023,Blender,Home & Kitchen,3,29.67,0.05,71,Apple Pay,Phoenix
ORD-101671,3/18/2023,Mechanical Keyboard,Electronics,1,147.06,0.1,74,Apple Pay,Chicago
ORD-105943,9/4/2023,Blender,Home & Kitchen,8,341.42,0.1,35,Credit Card,Houston
ORD-108934,1/15/2023,Perfume,Beauty,4,170.81,0.2,67,Cash,Los Angeles
ORD-100851,6/15/2023,Lip Balm,Beauty,9,135.71,,47,PayPal,Online
ORD-107881,11/28/2023,T-Shirt,Clothing,7,434.92,0.1,40,PayPal,Chicago
ORD-104589,12/23/2023,Socks,Clothing,1,22.57,0,68,PayPal,Houston
ORD-100731,2/15/2023,T-Shirt,Clothing,3,298.93,0.15,63,PayPal,houston
ORD-104951,3/18/2023,Coffee Maker,Home & Kitchen,8,310.76,0.1,66,PayPal,Houston
ORD-104640,11/9/2023,Sunscreen,Beauty,1,278.93,0.2,73,PayPal,New York
ORD-102841,4/1/2023,Blender,Home & Kitchen,5,458.16,0,46,Apple Pay,Online
ORD-105035,11/27/2023,Blender,Home & Kitchen,3,245.38,0,20,Credit Card,Los Angeles
ORD-100081,4/28/2023,Blender,Home & Kitchen,2,123.69,0,57,Debit Card,Los Angeles
ORD-108345,11/4/2023,Sunscreen,Beauty,8,338.86,0.05,70,Debit Card,New York
ORD-105895,9/4/2023,Data Science 101,Books,9,212.19,0.15,48,Debit Card,Phoenix
ORD-108792,9/25/2023,Data Science 101,Books,6,238.5,0,20,Apple Pay,Phoenix
ORD-101077,8/26/2023,Jeans,Clothing,1,57.64,0.15,46,Apple Pay,Los Angeles
ORD-102237,6/4/2023,Coffee Maker,Home & Kitchen,7,203.97,0.15,50,Apple Pay,Chicago
ORD-100915,12/15/2023,Jacket,Clothing,1,366.08,0.2,69,Cash,Phoenix
ORD-106119,8/28/2023,Sunscreen,Beauty,4,208.16,0.1,42,Credit Card,Phoenix
ORD-107257,10/13/2023,Jacket,clothing,2,252.9,0.15,31,Debit Card,Online
ORD-101374,11/14/2023,Data Science 101,Books,1,124.59,0,48,PayPal,Online
ORD-109921,1/5/2023,Mechanical Keyboard,Electronics,1,283.58,0.1,60,Apple Pay,New York
ORD-108693,1/7/2023,T-Shirt,clothing,4,55.65,0,68,Cash,Phoenix
ORD-103111,6/7/2023,Data Science 101,Books,1,389.19,0,65,PayPal,Houston
ORD-108022,11/17/2023,Monitor,Electronics,3,442.32,0.05,30,Cash,Houston
ORD-108936,3/21/2023,Air Fryer,Home & Kitchen,2,113.58,0,51,Apple Pay,New York
ORD-105432,8/7/2023,Coffee Maker,Home & Kitchen,4,20.99,0.1,66,Credit Card,Online
ORD-102272,5/13/2023,Shampoo,Beauty,2,324.23,0.05,59,Credit Card,New York
ORD-106081,5/4/2023,Jacket,Clothing,5,337.06,0,57,Debit Card,Online
ORD-100766,2/28/2023,USB-C Cable,Electronics,5,38.83,0,67,Cash,Chicago
ORD-109415,8/16/2023,Mechanical Keyboard,Electronics,1,86.82,0,41,Credit Card,New York
ORD-109819,3/25/2023,T-Shirt,Clothing,5,255.37,0.2,60,Credit Card,Houston
ORD-107612,3/14/2023,Headphones,Electronics,5,335.35,0.05,38,Debit Card,Phoenix
ORD-103026,9/25/2023,Jacket,Clothing,5,498.9,0.05,55,debit card,Los Angeles
ORD-101731,8/3/2023,Perfume,Beauty,3,356.34,0.15,150,Credit Card,Los Angeles
ORD-105051,10/3/2023,Air Fryer,Home & Kitchen,6,88.01,0.1,52,PayPal,Los Angeles
ORD-109592,2/5/2023,USB-C Cable,Electronics,4,366.09,0.1,31,Debit Card,New York
ORD-100036,4/23/2023,Socks,Clothing,8,352.99,0,69,Credit Card,Online
ORD-108146,4/30/2023,History Book,Books,2,294.15,0.1,47,Credit Card,Houston
ORD-104849,8/16/2023,Monitor,Electronics,6,27.35,0.1,31,Credit Card,Online
ORD-103667,3/23/2023,Data Science 101,Books,4,101.54,0.2,39,Cash,Houston
ORD-106040,9/28/2023,Data Science 101,Books,7,93.89,0.1,36,,New York
ORD-102524,7/1/2023,Wireless Mouse,Electronics,8,168.79,0.05,45,Debit Card,Los Angeles
ORD-102311,5/1/2023,Lip Balm,Beauty,1,219.24,0.2,72,,New York
ORD-101544,9/14/2023,Cookware Set,Home & Kitchen,7,172.67,0.2,23,PayPal,Houston
ORD-102456,1/14/2023,History Book,Books,8,483.77,0.1,30,Cash,Houston
ORD-101924,10/10/2023,Moisturizer,Beauty,9,339.62,0,61,Apple Pay,Phoenix
ORD-102532,6/11/2023,Monitor,Electronics,4,237.7,0.2,150,PayPal,Online
ORD-108338,1/23/2023,Mug,Home & Kitchen,3,408.21,0.05,34,Cash,Online
ORD-105697,12/19/2023,Socks,Clothing,2,87.73,0.1,62,Apple Pay,Houston
ORD-100032,8/13/2023,USB-C Cable,Electronics,9,162.41,0,74,Cash,Phoenix
ORD-103544,8/2/2023,Cookware Set,Home & Kitchen,5,18.36,0.05,21,Credit Card,Online
ORD-100312,11/16/2023,Headphones,Electronics,2,110.49,0,200,Apple Pay,Chicago
ORD-106667,8/20/2023,Wireless Mouse,Electronics,5,352.81,0.2,54,Apple Pay,Chicago
ORD-107585,11/5/2023,Monitor,Electronics,6,Unknown,0.1,21,Cash,Online
ORD-103101,3/2/2023,Data Science 101,Books,8,,0.05,64,Apple Pay,New York
ORD-104105,7/20/2023,Python Guide,Books,6,143.81,0.15,54,Apple Pay,Phoenix
ORD-105490,6/3/2023,USB-C Cable,Electronics,9,9999.99,0,56,Apple Pay,Chicago
ORD-106201,3/28/2023,Data Science 101,Books,3,172.97,0.05,28,Credit Card,Chicago
ORD-106465,12/9/2023,USB-C Cable,Electronics,2,,0.05,33,Cash,Online
ORD-101732,12/16/2023,Shampoo,Beauty,2,487.75,0.05,19,Cash,Phoenix
ORD-108862,4/30/2023,Fiction Novel,Books,2,491.83,0.2,54,Credit Card,New York
ORD-103126,5/6/2023,Mug,Home & Kitchen,6,429.31,0.2,33,,Online
ORD-109420,10/27/2023,Fiction Novel,Books,8,323.5,0.2,43,DEBIT CARD,Los Angeles
ORD-104460,9/30/2023,Shampoo,Beauty,6,436.64,0,61,PayPal,Los Angeles
